"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
1998-09-01,4290,869,1523,125,401,664,130,12145,158,300,436,207,284,75,1100,1412,61
1998-10-01,4089,861,1316,123,384,604,122,11539,180,293,493,174,310,74,1053,1320,61
1998-11-01,4372,802,1463,86,435,626,102,12432,165,340,569,187,295,78,1265,1510,50
1998-12-01,4178,848,1459,118,380,681,141,12104,191,375,593,164,325,70,1075,1398,39
1999-01-01,3287,684,1368,132,364,613,79,10565,170,294,687,134,281,80,1017,1266,49
1999-02-01,4618,920,2022,126,464,957,112,14632,195,370,860,198,328,61,1457,1796,56
1999-03-01,5088,993,2216,127,470,1097,147,15865,211,429,997,166,318,101,1605,1729,63
1999-04-01,4373,915,1566,108,402,679,101,12890,182,383,666,171,303,76,1227,1625,36
1999-05-01,4431,941,1811,114,423,617,130,13194,198,354,647,176,298,92,1346,1483,59
1999-06-01,3834,811,1471,114,422,641,123,11822,203,372,560,163,320,86,1111,1484,61
1999-07-01,4453,967,1474,122,424,722,116,12884,156,383,552,184,294,78,1241,1595,59
1999-08-01,4593,861,1588,112,418,743,147,13132,201,367,501,188,349,77,1313,1558,52
1999-09-01,4379,927,1595,124,439,676,110,12704,203,399,466,154,234,69,1227,1591,52
1999-10-01,3850,827,1443,92,338,572,107,11334,158,353,509,168,311,68,1110,1344,39
1999-11-01,4358,841,1666,112,446,703,115,12884,195,356,570,167,279,81,1260,1616,44
1999-12-01,4382,838,1687,87,412,748,127,13040,209,370,729,220,304,89,1230,1514,56
2000-01-01,3531,760,1544,107,360,473,127,10991,157,276,633,156,234,59,1111,1369,48
2000-02-01,4672,880,2102,117,496,1098,131,15207,202,426,879,158,315,93,1434,2060,69
2000-03-01,5045,1047,2226,119,496,894,148,15958,226,425,1041,206,358,98,1657,1869,57
2000-04-01,3503,742,1353,98,348,598,102,10948,144,321,509,137,243,78,1179,1521,40
2000-05-01,4761,1082,1695,132,458,746,135,14292,241,417,715,215,301,85,1335,1858,75
2000-06-01,4533,876,1682,110,449,760,144,13251,180,458,541,179,298,74,1313,1553,62
2000-07-01,4622,926,1708,123,431,756,118,13213,184,372,500,196,309,88,1250,1497,56
2000-08-01,4576,907,1596,126,421,717,141,13190,170,402,453,188,292,86,1301,1724,56
2000-09-01,4129,792,1511,97,470,646,116,12036,189,328,494,172,302,73,1184,1442,56
2000-10-01,4427,936,1571,109,345,662,110,12681,176,396,520,168,290,95,1162,1618,47
2000-11-01,4431,928,1552,96,439,755,120,12826,186,380,640,139,277,78,1216,1519,40
2000-12-01,4121,743,1597,105,378,686,131,12312,176,415,581,212,319,69,1199,1492,51
2001-01-01,3955,711,1559,113,365,624,106,11976,152,349,731,202,242,68,1169,1551,51
2001-02-01,5118,963,2216,126,433,906,97,15541,184,378,916,184,337,67,1526,1985,64
2001-03-01,5301,1062,2043,141,421,986,134,16234,208,407,1020,232,366,97,1703,2009,47
2001-04-01,4328,817,1684,105,380,635,117,12606,196,368,567,171,275,76,1210,1586,44
2001-05-01,4731,1030,1782,127,409,761,129,14101,196,435,623,193,333,97,1371,1760,53
2001-06-01,4292,887,1594,115,374,678,103,12768,168,363,470,182,306,62,1184,1823,36
2001-07-01,4559,1137,1766,120,421,763,116,14037,174,459,534,205,323,95,1373,1745,59
2001-08-01,4894,901,1682,112,418,687,148,13845,177,356,446,185,332,93,1472,1668,59
2001-09-01,4390,944,1399,108,415,631,121,12339,171,328,508,188,249,72,1083,1522,48
2001-10-01,4431,913,1658,130,410,712,117,13069,196,404,514,155,322,91,1227,1593,50
2001-11-01,4709,918,1685,119,423,756,119,13790,154,389,610,188,300,70,1387,1753,47
2001-12-01,4243,854,1576,103,366,730,123,12515,157,338,692,208,284,69,1163,1445,47
2002-01-01,3864,692,1535,96,363,602,123,11904,161,300,753,197,266,56,1205,1527,61
2002-02-01,5167,905,2074,121,370,980,115,15951,184,425,982,260,291,91,1626,2132,68
2002-03-01,4671,1078,2076,139,364,866,142,15104,154,412,991,193,293,90,1586,1908,42
2002-04-01,4653,941,1756,112,377,697,116,14031,212,388,675,198,330,76,1323,2023,55
2002-05-01,4913,1042,1814,115,424,817,150,14608,173,459,663,215,293,77,1423,1854,62
2002-06-01,4116,831,1471,115,350,641,119,12144,175,349,576,187,293,71,1179,1491,54
2002-07-01,4690,1019,1743,108,437,767,118,14148,195,386,586,235,311,97,1340,1733,70
2002-08-01,3670,734,1454,90,280,588,104,11245,155,370,511,163,278,64,1058,1369,36
2002-09-01,4456,928,1647,118,416,691,123,13183,150,415,592,212,320,87,1259,1702,54
2002-10-01,4173,870,1535,116,405,670,107,12297,168,405,591,171,276,76,1091,1557,55
2002-11-01,4197,949,1690,124,444,696,131,12913,179,365,682,233,291,71,1160,1600,67
2002-12-01,4450,861,1670,103,414,735,105,13196,193,368,617,204,339,66,1318,1684,47
2003-01-01,3980,914,1655,107,385,568,104,12519,170,355,767,221,347,71,1252,1538,47
2003-02-01,5395,1040,2455,120,455,1141,127,17723,215,467,1070,356,343,64,1712,2654,77
2003-03-01,4677,985,1967,125,426,860,111,14788,181,390,1013,188,315,89,1434,1957,50
2003-04-01,4079,855,1607,92,330,585,105,12207,158,378,687,231,245,84,1121,1578,40
2003-05-01,5322,1194,2076,140,468,947,133,16316,230,449,787,221,331,103,1471,2320,76
2003-06-01,3934,825,1462,98,347,534,124,11625,169,368,652,223,306,72,1125,1295,53
2003-07-01,5701,1177,2069,133,574,845,109,16421,223,454,675,273,331,93,1461,2154,92
2003-08-01,4874,997,1697,112,428,798,136,14305,225,392,671,244,377,100,1317,1847,64
2003-09-01,4774,1036,1841,128,498,669,106,14211,196,422,748,246,293,90,1324,1733,88
2003-10-01,4776,1049,1910,109,423,773,110,14133,158,426,681,255,293,108,1250,1722,66
2003-11-01,4530,922,1701,106,437,798,106,13366,165,378,699,200,281,80,1199,1693,60
2003-12-01,5013,1007,2099,124,437,805,136,15115,176,432,900,257,335,91,1425,1799,64
2004-01-01,3939,757,1691,105,382,619,86,12632,160,318,853,224,307,67,1286,1754,75
2004-02-01,4915,873,2081,101,350,853,107,15185,191,365,881,319,271,85,1425,2296,66
2004-03-01,5862,1205,2261,121,421,1095,108,17599,208,485,1108,272,339,99,1552,2393,58
2004-04-01,4931,978,1814,99,321,821,116,14501,184,408,704,249,292,82,1318,2117,62
2004-05-01,4974,1020,1732,124,420,773,111,14132,180,473,705,261,287,102,1176,1713,80
2004-06-01,4598,1016,1735,100,388,707,100,13505,182,408,602,203,294,106,1243,1759,60
2004-07-01,4861,996,1835,98,436,743,132,14235,241,392,605,274,340,120,1350,1727,82
2004-08-01,5075,1059,1655,114,424,730,111,14389,204,425,675,313,376,91,1349,1721,65
2004-09-01,4805,929,1625,116,373,726,98,13602,209,433,667,267,309,87,1221,1679,57
2004-10-01,4045,866,1539,79,323,559,116,11810,181,320,682,227,271,72,1043,1426,60
2004-11-01,5256,1037,1907,111,444,848,107,15187,199,413,873,300,283,100,1460,1778,65
2004-12-01,4980,915,1922,121,435,866,112,14658,201,387,833,269,337,89,1346,1765,78
2005-01-01,4019,785,1513,83,250,574,76,11530,160,281,718,170,240,71,1142,1403,45
2005-02-01,4435,870,2011,96,308,741,86,13953,160,374,834,280,241,82,1247,2128,60
2005-03-01,5306,989,2157,141,399,905,103,15780,183,429,1012,212,311,79,1411,2068,75
2005-04-01,5216,1084,1937,141,379,960,128,14975,206,374,728,274,292,83,1370,1735,68
2005-05-01,5215,1024,1930,124,435,754,113,15436,224,435,722,276,337,90,1317,2355,83
2005-06-01,5918,1214,2069,119,519,798,168,16810,229,484,812,310,368,128,1673,1930,70
2005-07-01,4652,923,1673,137,380,712,137,13306,163,404,557,239,349,111,1230,1582,57
2005-08-01,5426,1062,1927,116,453,759,131,15190,197,483,739,305,329,107,1380,1688,87
2005-09-01,5046,1036,1637,116,398,776,114,14198,200,435,684,281,322,102,1294,1672,85
2005-10-01,4767,964,1806,100,376,701,119,13442,217,374,733,226,279,104,1148,1481,46
2005-11-01,4319,870,1613,88,378,724,90,12467,146,379,669,236,259,68,1155,1433,39
2005-12-01,5130,929,1848,118,435,770,118,14330,192,373,771,254,291,111,1289,1623,78
2006-01-01,4504,818,1667,86,367,600,113,13005,166,331,806,219,287,68,1274,1635,62
2006-02-01,4793,790,2111,97,384,828,115,14663,149,328,898,302,308,82,1281,2129,68
2006-03-01,5928,996,2282,113,445,876,97,17077,200,392,1304,320,316,101,1605,2055,47
2006-04-01,4996,960,1761,105,365,733,115,14078,190,392,831,248,318,81,1264,1632,86
2006-05-01,4824,957,1743,103,402,602,125,13686,203,386,685,286,322,106,1282,1596,63
2006-06-01,5260,1054,1832,117,443,740,137,15586,196,424,754,258,358,101,1359,2482,71
2006-07-01,4681,1037,1728,99,447,676,103,13504,200,377,624,223,332,100,1281,1512,83
2006-08-01,6290,1179,2112,129,540,807,144,17487,253,490,944,353,360,124,1630,2040,90
2006-09-01,3613,725,1314,80,266,467,104,10058,145,320,562,157,233,84,943,999,46
2006-10-01,4085,826,1501,61,345,563,93,11427,175,319,608,241,238,78,1054,1184,54
2006-11-01,6042,1126,2082,124,566,900,140,17170,218,466,1088,312,367,105,1589,1943,102
2006-12-01,2946,567,1136,70,214,524,87,8456,105,243,413,172,167,56,788,934,34
2007-01-01,6487,1148,2632,117,569,888,158,18730,248,509,1315,338,398,158,1689,1988,87
2007-02-01,3974,776,1564,71,341,580,64,12060,134,307,719,246,266,77,1115,1763,63
2007-03-01,5964,965,2433,118,432,841,136,17631,179,391,1548,350,291,81,1565,2274,62
2007-04-01,4836,908,1660,68,405,609,116,13641,168,355,807,253,322,100,1341,1621,72
2007-05-01,5395,1093,1989,112,464,762,150,15584,178,447,869,269,293,104,1497,1866,95
2007-06-01,4639,936,1695,114,347,669,137,13221,173,400,677,263,349,72,1261,1415,73
2007-07-01,7096,1389,2625,169,597,1057,203,20273,249,584,990,405,513,132,1976,2206,81
2007-08-01,5179,1076,1890,122,387,721,124,15603,193,442,852,280,368,86,1554,2236,93
2007-09-01,4321,807,1593,76,368,549,114,12295,173,388,631,261,275,92,1124,1455,68
2007-10-01,4151,831,1458,73,373,693,93,11890,106,335,623,245,308,58,1148,1335,60
2007-11-01,5238,995,1954,116,449,796,126,15205,199,438,913,301,327,90,1446,1742,74
2007-12-01,4585,927,1778,90,407,788,146,13503,194,375,793,258,292,83,1236,1492,58
2008-01-01,4917,923,1974,101,430,705,125,14605,168,380,1054,304,331,72,1353,1699,68
2008-02-01,4075,669,1836,86,331,731,98,12839,117,363,820,243,278,77,1341,1719,55
